Stake Range,Total Staked,Number of Validators,Median Stake,Probability
0-5,629143,3378,0.52,0.2795
5-10,525358,999,6.56,0.0826
10-50,2936169,1346,19.39,0.1114
50-100,2376055,1230,64.28,0.1018
100-500,12815952,1713,185.83,0.1418
500-1000,4917206,495,640.89,0.0409
1000-5000,16748825,850,1626.81,0.0703
5000-10000,10411600,384,6307.79,0.0318
10000-50000,53315174,869,18871.71,0.0719
50000-100000,49871620,412,75398.48,0.0341
100000-250000,89646334,301,114545.05,0.0249
250000-500000,51876728,56,390274.04,0.0046
500000-99999999,102847934,54,892648.47,0.0045 
